"ee.Taxon","N","Definition"
"mouse",5,"extracellular matrix secreting cell"
"mouse",5,"serotonergic neuron"
"human",5,"cultured cell"
"human",5,"experimentally modified cell in vitro"
"mouse",5,"retinal cone cell"
"human",5,"common myeloid progenitor, CD34-positive"
"mouse",5,"megakaryocyte progenitor cell"
"human",5,"carotid artery segment"
"human",5,"follicular cell of ovary"
"human",5,"endometrial stroma"
"mouse",5,"preadipocyte"
"human",5,"ciliated epithelial cell"
"rat",5,"brain ventricle/choroid plexus"
"rat",5,"brain ventricle"
"rat",5,"ventricular system of central nervous system"
"rat",5,"ventricular system of brain"
"rat",5,"ventricle of nervous system"
"human",5,"activated CD4-positive, alpha-beta T cell"
"mouse",5,"pericyte cell"
"mouse",5,"epithelial cell of large intestine"
"mouse",5,"colon epithelial cell"
"human",5,"alveolus"
"human",5,"epithelial sac"
"mouse",5,"spermatid"
"human",5,"thymocyte"
"human",5,"immature T cell"
"human",5,"visceral fat"
"mouse",5,"extraembryonic cell"
"mouse",5,"blood serum"
"human",5,"simple cuboidal epithelium"
"human",5,"germinal epithelium of ovary"
"human",5,"capsule of ovary"
"human",5,"cuboidal epithelium"
"human",5,"wall of esophagus"
"human",5,"esophagus mucosa"
"human",5,"female germ cell"
"human",5,"oocyte"
"human",5,"mesenchyme of umbilical cord"
"human",5,"epithelial cell of pancreas"
"human",5,"peptide hormone secreting cell"
"human",5,"insulin secreting cell"
"human",5,"ploidy"
"human",5,"euploid"
"human",5,"cellular quality"
"human",5,"multinucleate cell"
"human",5,"biliary system"
"mouse",5,"telencephalic ventricle"
"human",5,"oviduct epithelium"
"mouse",5,"dorsomedial nucleus of hypothalamus"
"mouse",5,"ventral posterior nucleus of thalamus"
"mouse",5,"ventral nuclear group"
"human",5,"root"
"human",5,"organism"
"mouse",5,"hair follicle"
"mouse",5,"skin appendage follicle"
"rat",5,"vasculature of central nervous system plus retina"
"rat",5,"vasculature of central nervous system"
"mouse",5,"immunoglobulin complex"
"human",5,"oligodendrocyte"
"human",5,"layer of developing cerebral cortex"
"mouse",5,"substantia nigra pars compacta"
"mouse",5,"digestive system duct"
"mouse",5,"multicellular organism development"
"mouse",5,"cell differentiation"
"mouse",5,"multicellular organismal process"
"mouse",5,"system development"
"mouse",5,"anatomical structure development"
"mouse",5,"cellular developmental process"
"mouse",5,"single fate stem cell"
"mouse",5,"epithelial fate stem cell"
"mouse",5,"basal cell"
"human",5,"embryonic tissue"
"human",5,"erythroid progenitor cell"
"rat",5,"male germ cell"
"rat",5,"germ line cell"
"rat",5,"haploid cell"
"rat",5,"germ cell"
"mouse",5,"bipolar neuron"
"mouse",5,"amacrine cell"
"mouse",5,"retinal bipolar neuron"
"mouse",5,"visual system neuron"
"mouse",5,"inhibitory interneuron"
"mouse",5,"sensory neuron of dorsal root ganglion"
"human",5,"acid secreting cell"
"rat",5,"retinal cell"
"mouse",5,"dorsal raphe nucleus"
"mouse",5,"midbrain reticular formation"
"mouse",5,"nucleus of midbrain reticular formation"
"mouse",5,"astrocyte of the spinal cord"
"mouse",5,"brain endothelium"
"mouse",5,"anterior cingulate cortex"
"rat",4,"cerebellar neuron"
"rat",4,"dopaminergic neuron"
"mouse",4,"smooth muscle tissue"
"mouse",4,"right colon"
"human",4,"ciliary body"
"human",4,"anterior uvea"
"mouse",4,"sensory epithelial cell"
"mouse",4,"tongue"
"mouse",4,"umbilical cord"
"mouse",4,"cortical layer V"
"human",4,"middle temporal gyrus"
"rat",4,"supraoptic nucleus"
"human",4,"adrenal medulla"
"human",4,"smooth muscle tissue"
"human",4,"pylorus"
"human",4,"midbrain tegmentum"
"human",4,"dorsal thalamus"
"human",4,"nucleus of medulla oblongata"
"human",4,"cell cluster organ"
"rat",4,"dorsal raphe nucleus"
"rat",4,"midbrain reticular formation"
"rat",4,"nucleus of midbrain reticular formation"
"human",4,"nerve plexus"
"human",4,"spinal nerve plexus"
"human",4,"neural tissue"
"mouse",4,"immature B cell"
"rat",4,"layer of hippocampus"
"rat",4,"hippocampus pyramidal layer"
"rat",4,"hemopoietic organ"
"mouse",4,"superior colliculus"
"mouse",4,"inferior colliculus"
"mouse",4,"visual processing part of nervous system"
"rat",4,"serous membrane"
"human",4,"larynx"
"rat",4,"vestibulo-auditory system"
"human",4,"immature conventional dendritic cell"
"human",4,"cytotoxic T cell"
"human",4,"nephron tubule"
"human",4,"nephron"
"human",4,"nephron epithelium"
"human",4,"kidney epithelium"
"human",4,"uriniferous tubule"
"human",4,"renal tubule"
"rat",4,"mesenchymal stem cell"
"human",4,"hindlimb skeleton"
"human",4,"hindlimb bone"
"human",4,"hindlimb long bone"
"human",4,"leg bone"
"human",4,"pelvic appendage skeleton"
"human",4,"hindlimb endochondral element"
"human",4,"substantia nigra pars compacta"
"mouse",4,"ovarian follicle"
"rat",4,"epididymis"
"human",4,"calcareous tooth"
"human",4,"dental pulp"
"human",4,"tooth-like structure"
"human",4,"loose connective tissue"
"rat",4,"epithelial tube"
"human",4,"abdominal fat pad"
"human",4,"retroperitoneal fat pad"
"human",4,"CA1 field of hippocampus"
"mouse",4,"thymic conventional dendritic cell"
"mouse",4,"CD8alpha-positive thymic conventional dendritic cell"
"rat",4,"respiratory system muscle"
"mouse",4,"respiratory epithelial cell"
"mouse",4,"glandular epithelial cell"
"mouse",4,"glandular epithelium"
"rat",4,"jejunum"
"rat",4,"smooth muscle tissue"
"rat",4,"developing anatomical structure"
"human",4,"adult endothelial progenitor cell"
"human",4,"pelvic girdle region"
"human",4,"appendage girdle region"
"mouse",4,"CD8-positive, alpha-beta thymocyte"
"human",4,"myeloblast"
"rat",4,"flexor muscle"
"rat",4,"tibialis anterior"
"rat",4,"tibialis"
"rat",4,"ileum"
"mouse",4,"interstitial tissue"
"mouse",4,"membrane organ"
"mouse",4,"serous gland"
"mouse",4,"lacrimal apparatus"
"mouse",4,"lacrimal gland"
"mouse",4,"eye gland"
"mouse",4,"jaw region"
"mouse",4,"gland of ocular region"
"mouse",4,"lateral gland of orbital region"
"mouse",4,"pancreatic lymph node"
"human",4,"milk"
"human",4,"mammary gland fluid/secretion"
"human",4,"amniotic fluid"
"mouse",4,"kidney epithelial cell"
"mouse",4,"renal cortical epithelial cell"
"mouse",4,"kidney cortical cell"
"mouse",4,"kidney cell"
"rat",4,"colonic mucosa"
"rat",4,"aorta"
"rat",4,"thoracic cavity blood vessel"
"rat",4,"aortic system"
"rat",4,"great vessel of heart"
"rat",4,"motor neuron"
"rat",4,"hindlimb stylopod"
"rat",4,"hindlimb skeleton"
"rat",4,"stylopod"
"rat",4,"hindlimb bone"
"rat",4,"hindlimb long bone"
"rat",4,"leg bone"
"rat",4,"pelvic appendage skeleton"
"rat",4,"bone of pelvic complex"
"rat",4,"skeleton of pelvic complex"
"rat",4,"hindlimb endochondral element"
"mouse",4,"myocardium of ventricle"
"mouse",4,"heart ventricle wall"
"mouse",4,"gonadal fat pad"
"mouse",4,"serous sac"
"rat",4,"olfactory cortex"
"rat",4,"piriform cortex"
"rat",4,"lobe of lung"
"rat",4,"anatomical lobe"
"mouse",4,"section of aorta"
"human",4,"immaterial entity"
"mouse",4,"limb bud"
"mouse",4,"paired limb/fin bud"
"mouse",4,"CD8_alpha-positive CD11b-negative dendritic cell"
"mouse",4,"optic cup"
"human",4,"juvenile stage"
"mouse",4,"glycosaminoglycan secreting cell"
"mouse",4,"carbohydrate secreting cell"
"human",4,"mononuclear cell of bone marrow"
"human",4,"pulmonary artery"
"human",4,"pulmonary vascular system"
"rat",4,"circulating cell"
"rat",4,"single nucleate cell"
"rat",4,"mononuclear cell"
"rat",4,"peripheral blood mononuclear cell"
"mouse",4,"basket cell"
"mouse",4,"pontine tegmentum"
"mouse",4,"right cardiac chamber"
"mouse",4,"vastus lateralis"
"mouse",4,"nephron progenitor"
"human",4,"cumulus cell"
"human",4,"chorion"
"human",4,"chorionic villus"
"human",4,"integumentary adnexa"
"human",4,"pilosebaceous unit"
"mouse",4,"retinal neural layer"
"human",4,"skeletal muscle of trunk"
"human",4,"musculature of trunk"
"human",4,"deviation(from_normal)"
"mouse",4,"mesenteric lymph node"
"mouse",4,"peripheral lymph node"
"mouse",4,"visceral abdominal lymph node"
"rat",4,"conceptus"
"rat",4,"process"
"rat",4,"biological_process"
"human",4,"naive thymus-derived CD4-positive, alpha-beta T cell"
"rat",4,"central amygdaloid nucleus"
"mouse",4,"intestinal gland"
"mouse",4,"intestinal villus"
"mouse",4,"crypt of Lieberkuhn"
"human",4,"pancreatic duct"
"human",4,"alveolar sac"
"human",4,"alveolus of lung"
"human",4,"pulmonary acinus"
"mouse",4,"DN1 thymic pro-T cell"
"human",4,"palpebral conjunctiva"
"human",4,"subdivision of conjunctiva"
"mouse",4,"morphology"
"mouse",4,"structure"
"mouse",4,"neoplastic"
"mouse",4,"CD115-positive monocyte OR common dendritic progenitor"
"mouse",4,"common dendritic progenitor"
"human",4,"immature single positive thymocyte"
"mouse",4,"lateral zone of hypothalamus"
"mouse",4,"lateral hypothalamic area"
"mouse",4,"corticomedial nuclear complex"
"human",4,"CD8-positive, alpha-beta memory T cell"
"human",4,"classical monocyte"
"rat",4,"fourth lumbar dorsal root ganglion"
"mouse",4,"knee"
"mouse",4,"limb joint"
"mouse",4,"hindlimb joint"
"mouse",4,"synovial limb joint"
"mouse",4,"trophoblast cell"
"rat",4,"skin of body"
"mouse",4,"mechanosensory system"
"mouse",4,"auditory system"
"human",4,"enteroendocrine cell"
"human",4,"type B pancreatic cell"
"human",4,"pancreatic endocrine cell"
"human",4,"mesenchymal stem cell of umbilical cord"
"mouse",4,"neutrophil"
"human",4,"plasmacytoid dendritic cell"
"human",4,"trophoblast cell"
"human",4,"biliary tree"
"mouse",4,"mesodermal cell"
"human",4,"wall of blood vessel"
"mouse",4,"habenula"
"mouse",4,"subiculum"
"mouse",4,"CA2 field of hippocampus"
"mouse",4,"lateral septal complex"
"human",4,"erythrocyte"
"human",4,"oxygen accumulating cell"
"rat",4,"choroid plexus"
"rat",4,"tela choroidea"
"rat",4,"vascular plexus"
"human",4,"neuron associated cell (sensu Vertebrata)"
"human",4,"oligodendrocyte precursor cell"
"human",4,"cartilage tissue"
"mouse",4,"spermatocyte"
"mouse",4,"IgG immunoglobulin complex"
"mouse",4,"epibranchial ganglion"
"mouse",4,"late embryonic stage"
"human",4,"cerebral cortex subventricular zone"
"mouse",4,"naive thymus-derived CD4-positive, alpha-beta T cell"
"mouse",4,"vasculature of trunk"
"mouse",4,"epithelium of mammary gland"
"mouse",4,"T-helper 2 cell"
"mouse",4,"CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell"
"human",4,"germ layer"
"human",4,"germ layer / neural crest"
"mouse",4,"epithelial cell of small intestine"
"human",4,"proerythroblast"
"mouse",4,"optic choroid"
"mouse",4,"vasculature of eye"
"human",4,"spinal cord motor neuron"
"mouse",4,"ciliated cell"
"mouse",4,"GABAergic interneuron"
"mouse",4,"epithelial cell of pancreas"
"mouse",4,"peptide hormone secreting cell"
"mouse",4,"insulin secreting cell"
"human",4,"neuroepithelial stem cell"
"human",4,"interneuron"
"rat",4,"retinal ganglion cell"
"human",4,"peripheral region of retina"
"mouse",4,"fourth lumbar dorsal root ganglion"
"mouse",4,"caudal ganglionic eminence"
"mouse",4,"Schwann cell"
"mouse",4,"developing neuroepithelium"
"rat",4,"cranial nerve"
"rat",4,"nerve of head region"
"rat",4,"cranial neuron projection bundle"
"human",4,"supportive cell"
"human",4,"pericyte cell"
"mouse",4,"meningeal cluster"
"human",4,"endothelial cell of lymphatic vessel"
"human",4,"lymphatic vessel"
"human",4,"lymph vasculature"
"human",4,"lymphatic part of lymphoid system"
"human",4,"serotonin secreting cell"
"rat",3,"cerebellar granule cell"
"rat",3,"parietal cortex"
"rat",3,"substantia nigra pars compacta"
"mouse",3,"gestational hematopoietic stem cell"
"mouse",3,"fetal liver hematopoietic progenitor cell"
"mouse",3,"blastodisc"
"mouse",3,"head fold of embryonic disc"
"human",3,"trabecular meshwork cell"
"human",3,"aqueous drainage system"
"human",3,"eye trabecular meshwork"
"mouse",3,"epithelium of small intestine"
"mouse",3,"proximal-distal subdivision of colon"
"mouse",3,"sensory hair cell"
"mouse",3,"vomeronasal organ"
"mouse",3,"digit"
"mouse",3,"chest organ"
"mouse",3,"thoracic mammary gland"
"mouse",3,"autopodial extension"
"mouse",3,"vomeronasal system"
"mouse",3,"segment of autopod"
"mouse",3,"digitopodium region"
"mouse",3,"acropodium region"
"mouse",3,"digit plus metapodial segment"
"mouse",3,"gall bladder"
"mouse",3,"white fat cell"
"mouse",3,"cortical layer IV"
"mouse",3,"cortical layer VI"
"mouse",3,"corticospinal tract"
"mouse",3,"neural system"
"mouse",3,"motor system"
"mouse",3,"corticobulbar and corticospinal tracts"
"mouse",3,"cortical plate"
"human",3,"cingulate gyrus"
"mouse",3,"cranial nerve nucleus"
"mouse",3,"ventral horn of spinal cord"
"mouse",3,"gray matter of spinal cord"
"rat",3,"postcentral gyrus"
"rat",3,"somatosensory cortex"
"rat",3,"functional part of brain"
"rat",3,"adrenal gland"
"rat",3,"adrenal/interrenal gland"
"rat",3,"chromaffin system"
"human",3,"cerebellar hemisphere"
"human",3,"regional part of cerebellar cortex"
"human",3,"dorsal root ganglion"
"human",3,"ganglion"
"human",3,"mammalian vulva"
"human",3,"sensory ganglion"
"human",3,"ventral tegmental area"
"human",3,"external genitalia"
"human",3,"gastroesophageal sphincter"
"human",3,"sphincter muscle"
"human",3,"vestibular system"
"human",3,"external female genitalia"
"human",3,"nucleus of thalamus"
"human",3,"gastrointestinal sphincter"
"human",3,"nucleus of dorsal thalamus"
"rat",3,"pontine tegmentum"
"rat",3,"nucleus of medulla oblongata"
"mouse",3,"mesenchymal stem cell of the bone marrow"
"human",3,"sciatic nerve"
"human",3,"tibial nerve"
"human",3,"lumbosacral nerve plexus"
"human",3,"leg nerve"
"human",3,"limb nerve"
"human",3,"hindlimb nerve"
"human",3,"Brodmann (1909) area 9"
"rat",3,"thoracic subsegment of spinal cord"
"mouse",3,"pre-B-II cell"
"mouse",3,"pre-B-I cell"
"mouse",3,"large pre-B-II cell"
"rat",3,"pyramidal neuron"
"rat",3,"hippocampal pyramidal neuron"
"rat",3,"Meynert cell"
"rat",3,"spleen"
"rat",3,"bone marrow"
"rat",3,"surface structure"
"rat",3,"abdominal viscera"
"human",3,"cranial neuron projection bundle"
"rat",3,"skeletal joint"
"rat",3,"articular system"
"rat",3,"articulation"
"rat",3,"somatic nervous system"
"rat",3,"atypical epithelium"
"rat",3,"olfactory epithelium"
"rat",3,"olfactory segment of nasal mucosa"
"rat",3,"olfactory system"
"rat",3,"chemosensory system"
"rat",3,"sensory epithelium"
"rat",3,"layer of muscle tissue"
"rat",3,"zone of bone organ"
"human",3,"kidney epithelial cell"
"human",3,"epithelial cell of nephron"
"human",3,"nephron tubule epithelial cell"
"human",3,"kidney cell"
"human",3,"kidney tubule cell"
"human",3,"nephron tubule epithelium"
"human",3,"femur"
"human",3,"upper leg bone"
"human",3,"diaphysis"
"human",3,"bone of hip region"
"human",3,"femur endochondral element"
"rat",3,"cartilage tissue"
"rat",3,"skeletal tissue"
"mouse",3,"secondary oocyte"
"mouse",3,"epithelium of female gonad"
"human",3,"tooth bud"
"mouse",3,"vestibular labyrinth"
"mouse",3,"vestibular organ"
"human",3,"immunoglobulin complex"
"human",3,"protein-containing complex"
"human",3,"IgG immunoglobulin complex"
"human",3,"lung endothelial cell"
"human",3,"lung microvascular endothelial cell"
"human",3,"lung vasculature"
"human",3,"pons"
"human",3,"pericardium"
"human",3,"omental fat pad"
"rat",3,"preoptic area"
"rat",3,"diaphragm"
"rat",3,"skeletal muscle of trunk"
"rat",3,"thoracic segment muscle"
"rat",3,"musculature of thorax"
"rat",3,"musculature of trunk"
"rat",3,"fat pad"
"rat",3,"epididymal fat pad"
"mouse",3,"jejunal mucosa"
"rat",3,"intestinal epithelium"
"rat",3,"digestive tract epithelium"
"rat",3,"gastrointestinal system epithelium"
"human",3,"lower jaw region"
"human",3,"major salivary gland"
"human",3,"parotid gland"
"human",3,"buccal salivary gland"
"human",3,"memory B cell"
"rat",3,"cellular_component"
"mouse",3,"stromal cell of bone marrow"
"human",3,"ileal mucosa"
"human",3,"flat bone"
"rat",3,"stomach"
"rat",3,"foregut"
"rat",3,"cardiac muscle tissue"
"rat",3,"food storage organ"
"human",3,"epithelial cell of uterus"
"human",3,"stromal cell of endometrium"
"rat",3,"systemic artery"
"rat",3,"duct epithelial cell"
"rat",3,"supportive cell"
"rat",3,"epithelium of gonad"
"mouse",3,"testosterone secreting cell"
"mouse",3,"Leydig cell"
"mouse",3,"Leydig cell region of testis"
"human",3,"muscle of leg"
"human",3,"musculature of leg"
"mouse",3,"lower jaw region"
"mouse",3,"submandibular gland"
"mouse",3,"major salivary gland"
"human",3,"CD38-positive naive B cell"
"human",3,"CD38-negative naive B cell"
"human",3,"urothelium"
"mouse",3,"central memory CD8-positive, alpha-beta T cell"
"mouse",3,"cardiac septum"
"mouse",3,"septum"
"human",3,"CD8-positive, alpha-beta cytotoxic T cell"
"mouse",3,"chordate pharynx"
"mouse",3,"pharynx"
"mouse",3,"epithelial cell of nephron"
"mouse",3,"glomerular capsule"
"mouse",3,"visceral layer of glomerular capsule"
"mouse",3,"hepatoblast"
"rat",3,"prostate gland"
"rat",3,"reproductive gland"
"rat",3,"male reproductive gland"
"rat",3,"male accessory sex gland"
"mouse",3,"barrel cortex"
"human",3,"enteric nervous system"
"human",3,"autonomic nervous system"
"rat",3,"femur"
"rat",3,"upper leg bone"
"rat",3,"bone of hip region"
"rat",3,"femur endochondral element"
"mouse",3,"cortex of thymus"
"mouse",3,"4-8 cell stage embryo"
"mouse",3,"8-cell stage embryo"
"mouse",3,"peritoneum"
"mouse",3,"abdominal wall"
"mouse",3,"peritoneal sac"
"rat",3,"entorhinal cortex"
"rat",3,"parahippocampal gyrus"
"human",3,"CD34-positive, CD38-negative hematopoietic stem cell"
"human",3,"male germ cell"
"mouse",3,"descending aorta"
"mouse",3,"abdominal aorta"
"mouse",3,"chondrocyte"
"mouse",3,"collagen secreting cell"
"human",3,"fibroblast of dermis"
"human",3,"optic choroid"
"human",3,"vasculature of head"
"human",3,"vasculature of eye"
"human",3,"cervical spinal cord"
"human",3,"subcutaneous abdominal adipose tissue"
"human",3,"atypical epithelium"
"human",3,"neoplastic, malignant"
"mouse",3,"root"
"mouse",3,"organism"
"human",3,"primary cultured cell"
"human",3,"renal pelvis/ureter"
"mouse",3,"mesonephros"
"mouse",3,"metanephric mesenchyme"
"mouse",3,"renal vesicle"
"mouse",3,"epithelial vesicle"
"human",3,"amniocyte"
