"et.Val","ee.Taxon","N"
"Mapk12 [mouse] mitogen-activated protein kinase 12","mouse",1
"Nxnl1 [mouse] nucleoredoxin-like 1","mouse",1
"Cyp26a1 [mouse] cytochrome P450, family 26, subfamily a, polypeptide 1","mouse",1
"Plagl2 [mouse] pleiomorphic adenoma gene-like 2","mouse",1
"progesterone-receptor positive breast cancer","human",1
"Pde3b [mouse] phosphodiesterase 3B, cGMP-inhibited","mouse",1
"Iddm2 [rat] Insulin dependent diabetes mellitus QTL 2","rat",1
"Tnr [mouse] tenascin R","mouse",1
"Lhcgr [mouse] luteinizing hormone/choriogonadotropin receptor","mouse",1
"Chrna9 [mouse] cholinergic receptor, nicotinic, alpha polypeptide 9","mouse",1
"CHMP2B [human] chromatin modifying protein 2B","human",1
"Raly [mouse] hnRNP-associated with lethal yellow","mouse",1
"PARK7 [human] Parkinson disease (autosomal recessive, early onset) 7","human",1
"Kcnj8 [mouse] potassium inwardly-rectifying channel, subfamily J, member 8","mouse",1
"Zfpm2 [mouse] zinc finger protein, multitype 2","mouse",1
"Mapk3 [mouse] mitogen-activated protein kinase 3","mouse",1
"Jmjd6 [mouse] jumonji domain containing 6","mouse",1
"GCN2 [yeast] Gcn2p","yeast",1
"GLN3 [yeast] Gln3p","yeast",1
"nmd2::HIS3","yeast",1
"GAL-NMD2","yeast",1
"gene knock out","yeast",1
"Ubiquitin","yeast",1
"DNA Damage","yeast",1
"sox9b [zebrafish] SRY-box transcription factor 9b","zebrafish",1
"smarca4 [zebrafish] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","zebrafish",1
"Nfkbib [mouse] nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta","mouse",1
"IGH [human] immunoglobulin heavy locus","mouse",1
"Human chromosome 13","human",1
"JAK1 [human] Janus kinase 1","human",1
"Il18 [mouse] interleukin 18","mouse",1
"AKT1 [human] v-akt murine thymoma viral oncogene homolog 1","mouse",1
"Rorb [mouse] RAR-related orphan receptor beta","mouse",1
"SIX1 [human] SIX homeobox 1","human",1
"TGFBR2 [human] transforming growth factor beta receptor 2","human",1
"Myf5 [mouse] myogenic factor 5","mouse",1
"LDLR [human] low density lipoprotein receptor","human",1
"Atf1 [mouse] activating transcription factor 1","mouse",1
"Tsc2 Ek/+","rat",1
"GSC [human] goosecoid homeobox","human",1
"ERCC3 [human] excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)","human",1
"Ghr [mouse] growth hormone receptor","mouse",1
"Stub1 [mouse] STIP1 homology and U-Box containing protein 1","mouse",1
"Xpc [mouse] xeroderma pigmentosum, complementation group C","mouse",1
"CD38-positive naive B cell","human",1
"CD38-negative naive B cell","human",1
"Mapk14 [mouse] mitogen-activated protein kinase 14","mouse",1
"RPS14 [human] ribosomal protein S14","human",1
"TOR1A [human] torsin family 1, member A (torsin A)","human",1
"Klrg1 [mouse] killer cell lectin-like receptor subfamily G, member 1","mouse",1
"TFRC [human] transferrin receptor (p90, CD71)","human",1
"FH [human] fumarate hydratase","human",1
"ALOX5AP [human] arachidonate 5-lipoxygenase-activating protein","human",1
"Ahr [rat] aryl hydrocarbon receptor","rat",1
"Zbtb7a [mouse] zinc finger and BTB domain containing 7a","mouse",1
"LMO1 [human] LIM domain only 1","mouse",1
"LMO2 [human] LIM domain only 2 (rhombotin-like 1)","mouse",1
"ZBTB7B [human] zinc finger and BTB domain containing 7B","mouse",1
"Mmp10 [mouse] matrix metallopeptidase 10","mouse",1
"HIST1H1C [human] histone cluster 1 H1 family member c","human",1
"HIST1H1D [human] histone cluster 1 H1 family member d","human",1
"HIST1H1E [human] histone cluster 1 H1 family member e","human",1
"HIST1H1B [human] histone cluster 1 H1 family member b","human",1
"HIST1H1A [human] histone cluster 1 H1 family member a","human",1
"Prkar1a [mouse] protein kinase, cAMP dependent regulatory, type I, alpha","mouse",1
"Ptgfr [mouse] prostaglandin F receptor","mouse",1
"SAFB [human] scaffold attachment factor B","human",1
"SAFB2 [human] scaffold attachment factor B2","human",1
"BTK [human] Bruton tyrosine kinase","human",1
"CARD11 [human] caspase recruitment domain family member 11","human",1
"CD79A [human] CD79a molecule","human",1
"let-60 [worm] LEThal","worm",1
"AIN-2","worm",1
"ain-1 [worm] ALG-1 INteracting protein","worm",1
"daf-2 [worm] Insulin-like receptor subunit betaProtein kinase domain-containing proteinReceptor protein-tyrosine kinasehypothetical protein","worm",1
"mex-3 [worm] Muscle EXcess","worm",1
"pal-1 [worm] Homeobox protein pal-1","worm",1
"pie-1 [worm] Pharynx and intestine in excess protein 1","worm",1
"skn-1 [worm] BZIP domain-containing proteinProtein skinhead-1","worm",1
"glp-4 [worm] Valine--tRNA ligase","worm",1
"osm-7 [worm] hypothetical protein","worm",1
"dpy-9 [worm] Col_cuticle_N domain-containing protein","worm",1
"osm-11 [worm] hypothetical protein","worm",1
"osm-8 [worm] Osmotic avoidance abnormal protein 8","worm",1
"dpy-10 [worm] Cuticle collagen dpy-10","worm",1
"rheb-1 [worm] GTP-binding protein Rheb homolog 1","worm",1
"tor-1 [worm] Torsin","worm",1
"spermidine","human",1
"Tcrb-V5 [mouse] T cell receptor beta, variable 5","mouse",1
"Tcra-V2 [mouse] T cell receptor alpha, variable 2","mouse",1
"Nr4a1 [mouse] nuclear receptor subfamily 4, group A, member 1","mouse",1
"Slc11a2 [rat] solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2","rat",1
"Fgfr1 [rat] Fibroblast growth factor receptor 1","rat",1
"HTATIP2 [human] HIV-1 Tat interactive protein 2","human",1
"Mef2 [fly] Myocyte enhancer factor 2","fly",1
"MET [human] MET proto-oncogene, receptor tyrosine kinase","human",1
"deletion","fly",1
"haplotype","fly",1
"Notch4 [mouse] notch 4","mouse",1
"BCL2 [human] B-cell CLL/lymphoma 2","mouse",1
"NOX1 [human] NADPH oxidase 1","human",1
"Adcy8 [mouse] adenylate cyclase 8","mouse",1
"Gabrg2 [mouse] gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2","mouse",1
"Myh1 [mouse] myosin, heavy polypeptide 1, skeletal muscle, adult","mouse",1
"Tnfsf8 [mouse] tumor necrosis factor (ligand) superfamily, member 8","mouse",1
"Emd [mouse] emerin","mouse",1
"esco2 [zebrafish] establishment of cohesion 1 homolog 2","zebrafish",1
"Rbf [fly] Retinoblastoma-family protein","fly",1
"wts [fly] warts","fly",1
"Cln3 [mouse] ceroid lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)","mouse",1
"Cln6 [mouse] ceroid-lipofuscinosis, neuronal 6","mouse",1
"APOD [human] apolipoprotein D","mouse",1
"tp53 [zebrafish] tumor protein p53","zebrafish",1
"Gpx1 [mouse] glutathione peroxidase 1","mouse",1
"Wld [mouse] wallerian degeneration","mouse",1
"Rpe65 [mouse] retinal pigment epithelium 65","mouse",1
"balanced reciprocal translocation","human",1
"NOP56 [human] NOP56 ribonucleoprotein","human",1
"HMGA1 [human] high mobility group AT-hook 1","human",1
"TACSTD2 [human] tumor-associated calcium signal transducer 2","human",1
"RPS2 [human] ribosomal protein S2","human",1
"RRM2 [human] ribonucleotide reductase M2","human",1
"Wistar","rat",1
"Fgfr3 [mouse] fibroblast growth factor receptor 3","mouse",1
"Fgfr4 [mouse] fibroblast growth factor receptor 4","mouse",1
"Pdgfb [mouse] platelet derived growth factor, B polypeptide","mouse",1
"Ptger4 [mouse] prostaglandin E receptor 4 (subtype EP4)","mouse",1
"Tnfaip6 [mouse] tumor necrosis factor alpha induced protein 6","mouse",1
"Rrp40 [fly] CG31938 gene product from transcript CG31938-RA","fly",1
"Csl4 [fly] CG6249 gene product from transcript CG6249-RA","fly",1
"Ski6 [fly] CG15481 gene product from transcript CG15481-RA","fly",1
"Rrp4 [fly] CG3931 gene product from transcript CG3931-RA","fly",1
"Mtr3 [fly] CG8025 gene product from transcript CG8025-RA","fly",1
"Rrp46 [fly] CG4043 gene product from transcript CG4043-RA","fly",1
"Rrp6 [fly] CG7292 gene product from transcript CG7292-RB","fly",1
"Dis3 [fly] CG6413 gene product from transcript CG6413-RA","fly",1
"PROM1 [human] prominin 1","human",1
"Mir146 [mouse] microRNA 146","mouse",1
"NUTM1 [human] NUT midline carcinoma family member 1","human",1
"Pglyrp1 [mouse] peptidoglycan recognition protein 1","mouse",1
"Pglyrp3 [mouse] peptidoglycan recognition protein 3","mouse",1
"Pglyrp4 [mouse] peptidoglycan recognition protein 4","mouse",1
"Pglyrp2 [mouse] peptidoglycan recognition protein 2","mouse",1
"transgenic","rat",1
"Agt [rat] angiotensinogen","rat",1
"Ren [rat] renin","rat",1
"Ins2 [mouse] insulin II","mouse",1
"Myh6 [mouse] myosin, heavy polypeptide 6, cardiac muscle, alpha","mouse",1
"MLLT3 [human] MLLT3, super elongation complex subunit","human",1
"MLLT11 [human] MLLT11, transcription factor 7 cofactor","human",1
"SEPT6 [human] septin 6","human",1
"MLLT1 [human] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) translocated to, 1","human",1
"AFDN [human] afadin, adherens junction formation factor","human",1
"MLLT10 [human] MLLT10, histone lysine methyltransferase DOT1L cofactor","human",1
"ELL [human] elongation factor for RNA polymerase II","human",1
"Vax2 [mouse] ventral anterior homeobox containing gene 2","mouse",1
"Ssdp [fly] Sequence-specific single-stranded DNA-binding protein","fly",1
"Lepr db/db","mouse",1
"Elk1 [mouse] ELK1, member of ETS oncogene family","mouse",1
"Chromosome 2","mouse",1
"Chromosome 11","mouse",1
"Chromosome 17","mouse",1
"Socs2 [mouse] suppressor of cytokine signaling 2","mouse",1
"Ubx [fly] Ultrabithorax","fly",1
"Tau","mouse",1
"HES6 [human] hairy and enhancer of split 6 (Drosophila)","human",1
"Chrnb2 [mouse] cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)","mouse",1
"MDC1 [human] mediator of DNA-damage checkpoint 1","human",1
"Bcl3 [mouse] B-cell leukemia/lymphoma 3","mouse",1
"Nfkb1 [mouse] nuclear factor of kappa light polypeptide gene enhancer in B-cells 1, p105","mouse",1
"Induced pluripotent stem cell","mouse",1
"Rora [mouse] RAR-related orphan receptor alpha","mouse",1
"Nr1i2 [mouse] nuclear receptor subfamily 1, group I, member 2","mouse",1
"TBC1D16 [human] TBC1 domain family, member 16","human",1
"RAB27A [human] RAB27A, member RAS oncogene family","human",1
"MMTV-PyMT","mouse",1
"TallyHo/Jng allele","mouse",1
"Tabw (TallyHo/Jng) Tanidd2 (TallyHo/Jng) Tanidd1 (TallyHo/Jng) Tafat (TallyHo/Jng) Tanidd3 (TallyHo/Jng)","mouse",1
"Tanidd1 [mouse] TallyHo associated non-insulin dependent diabetes mellitus 1","mouse",1
"Tanidd2 [mouse] TallyHo associated non-insulin dependent diabetes mellitus 2","mouse",1
"Tanidd3 [mouse] TallyHo associated non-insulin dependent diabetes mellitus 3","mouse",1
"Tafat [mouse] TallyHo associated mesenteric fat pad weight","mouse",1
"NCOA2 [human] nuclear receptor coactivator 2","mouse",1
"KAT6A [human] K(lysine) acetyltransferase 6A","mouse",1
"RUNX1T1 [human] runt-related transcription factor 1 translocated to, 1 (cyclin D-related)","mouse",1
"transgene","human",1
"globin","human",1
"Tnfsf12 [mouse] tumor necrosis factor (ligand) superfamily, member 12","mouse",1
"NLS-bearing protein import into nucleus","mouse",1
"Myhc [mouse] myosin heavy chain, cardiac muscle complex","mouse",1
"Gpm6b [mouse] glycoprotein m6b","human",1
"Ifngr2 [mouse] interferon gamma receptor 2","mouse",1
"Gug [fly] Grunge","fly",1
"Sir2 [fly] CG5216 gene product from transcript CG5216-RA","fly",1
"APC2 [human] APC2, WNT signaling pathway regulator","human",1
"1798insD mutation","mouse",1
"Scn5a [mouse] sodium channel, voltage-gated, type V, alpha","mouse",1
"Bcmo1 [mouse] beta-carotene 15,15'-monooxygenase","mouse",1
"Tek [mouse] TEK receptor tyrosine kinase","mouse",1
"AREG [human] amphiregulin","mouse",1
"Y chromosome","fly",1
"recombinationally_rearranged_gene","fly",1
"copy_number_variation","fly",1
"Pdss2 [mouse] prenyl (solanesyl) diphosphate synthase, subunit 2","mouse",1
"SIRT6 [human] sirtuin 6","human",1
"NUMB [human] NUMB, endocytic adaptor protein","human",1
"LMP1 [Epstein-Barr virus] latent membrane protein LMP-1","human",1
"MAML1 [human] mastermind like transcriptional coactivator 1","human",1
"IGHV3-69-1 [human] immunoglobulin heavy variable 3-69-1 (pseudogene)","human",1
"Pxt [fly] Peroxinectin-like","fly",1
"ash-2 [worm] ASH histone methyltransferase complex subunit (Drosophila absent, small or homeotic discs)","worm",1
"Tert [mouse] telomerase reverse transcriptase","mouse",1
"neuron","mouse",1
"Cck [mouse] cholecystokinin","mouse",1
"Pnoc [mouse] prepronociceptin","mouse",1
"Cry1 (-/-) Cry2 (-/-)","mouse",1
"Cry1 [mouse] cryptochrome 1 (photolyase-like)","mouse",1
"Cry2 [mouse] cryptochrome 2 (photolyase-like)","mouse",1
"BHLHE40 [human] basic helix-loop-helix family, member e40","human",1
"Six1 [mouse] sine oculis-related homeobox 1 homolog (Drosophila)","mouse",1
"aneuploidy","human",1
"Hic1 [mouse] hypermethylated in cancer 1","mouse",1
"anti-CD3 anti-CD28","human",1
"PDCD1 [human] programmed cell death 1","human",1
"CD3W [human] CD3-TCR complex, omega polypeptide","human",1
"CD28 [human] CD28 molecule","human",1
"TLR2 [human] toll like receptor 2","human",1
"Pabpn1 [mouse] poly(A) binding protein, nuclear 1","mouse",1
"over-expression","fly",1
"knock-down","fly",1
"Hr96 [fly] Hormone receptor-like in 96","fly",1
"Foxl1 [mouse] forkhead box L1","mouse",1
"Mdm4 [mouse] transformed mouse 3T3 cell double minute 4","mouse",1
"RBFOX1 [human] RNA binding fox-1 homolog 1","human",1
"MLL-AF9","mouse",1
"SRC [human] SRC proto-oncogene, non-receptor tyrosine kinase","human",1
"MLH1 [human] mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)","human",1
"recombinant vector","human",1
"MYBL1 [human] v-myb avian myeloblastosis viral oncogene homolog-like 1","human",1
"SATB1 [human] SATB homeobox 1","human",1
"RAB25 [human] RAB25, member RAS oncogene family","human",1
"MIR24-1 [human] microRNA 24-1","human",1
"MMP14 [human] matrix metallopeptidase 14 (membrane-inserted)","human",1
"Decreased expression","human",1
"Plau [mouse] plasminogen activator, urokinase","mouse",1
"Vsig4 [mouse] V-set and immunoglobulin domain containing 4","mouse",1
"Mx1 [mouse] myxovirus (influenza virus) resistance 1","mouse",1
"BCLAF1 [human] BCL2 associated transcription factor 1","human",1
"Pex5 [mouse] peroxisomal biogenesis factor 5","mouse",1
"Indy [fly] I'm not dead yet","fly",1
"arm [fly] armadillo","fly",1
"tkv [fly] thickveins","fly",1
"wg [fly] wingless","fly",1
"spi [fly] spitz","fly",1
"Egfr [fly] Epidermal growth factor receptor","fly",1
"htl [fly] heartless","fly",1
"lmd [fly] lame duck","fly",1
"pnt [fly] pointed","fly",1
"Overexpression","fly",1
"MnSOD","fly",1
"Manganese Superoxide Dismutase","fly",1
"Growth Factor","fly",1
"os [fly] outstretched","fly",1
"bgcn [fly] benign gonial cell neoplasm","fly",1
"Transcription Factor","fly",1
"Dif [fly] Dorsal-related immunity factor","fly",1
"dl [fly] dorsal","fly",1
"Rel [fly] Relish","fly",1
"U2af50 [fly] U2 small nuclear riboprotein auxiliary factor 50","fly",1
"S284Y","fly",1
"slbo [fly] slow border cells","fly",1
"gene_silenced_by_histone_methylation","fly",1
"Psc [fly] Posterior sex combs","fly",1
"Pc [fly] Polycomb","fly",1
"Sce [fly] Sex combs extra","fly",1
"diploid","fly",1
"Dys [fly] Dystrophin","fly",1
"tko [fly] technical knockout","fly",1
"loj [fly] logjam","fly",1
"HNF4 mutant","fly",1
"UAS-Inr","fly",1
"ptip [fly] CG32133 gene product from transcript CG32133-RA","fly",1
"Tis11 [fly] Tis11 homolog","fly",1
"silenced_gene","fly",1
"Polycomb","fly",1
"Vret","fly",1
"piwi [fly] CG6122 gene product from transcript CG6122-RA","fly",1
"aub [fly] aubergine","fly",1
"transgenic organism","fly",1
"SLC24A5 [human] solute carrier family 24 member 5","human",1
"Acadm [mouse] acyl-Coenzyme A dehydrogenase, medium chain","mouse",1
"Bhlha15 [mouse] basic helix-loop-helix family, member a15","mouse",1
"df [fly] defective","fly",1
"HNF1B [human] HNF1 homeobox B","human",1
"Sfrp5 [mouse] secreted frizzled-related sequence protein 5","mouse",1
"Fgf1 [mouse] fibroblast growth factor 1","mouse",1
"Fcgr1 [mouse] Fc receptor, IgG, high affinity I","mouse",1
"Fcgr2b [mouse] Fc receptor, IgG, low affinity IIb","mouse",1
"MIR372 [human] microRNA 372","human",1
"MIRLET7A1 [human] microRNA let-7a-1","human",1
"MIRLET7F1 [human] microRNA let-7f-1","human",1
"MIR34C [human] microRNA 34c","human",1
"MIR98 [human] microRNA 98","human",1
"CD34 [human] CD34 molecule","human",1
"Slc15a2 [mouse] solute carrier family 15 (H+/peptide transporter), member 2","mouse",1
"NPM1 [human] nucleophosmin (nucleolar phosphoprotein B23, numatrin)","human",1
"NTRK1 [human] neurotrophic tyrosine kinase, receptor, type 1","human",1
"NTRK2 [human] neurotrophic tyrosine kinase, receptor, type 2","human",1
"C3H/HeJ","mouse",1
"Gys1 [mouse] glycogen synthase 1, muscle","mouse",1
"Rps19 [mouse] ribosomal protein S19","mouse",1
"Rpl11 [mouse] ribosomal protein L11","mouse",1
"Traf3ip2 [mouse] TRAF3 interacting protein 2","mouse",1
"Irs3 [mouse] insulin receptor substrate 3","mouse",1
"Irs4 [mouse] insulin receptor substrate 4","mouse",1
"Irs2 [mouse] insulin receptor substrate 2","mouse",1
"GAT1 [yeast] Gat1p","yeast",1
"MET31 [yeast] Met31p","yeast",1
"Ptk2 [mouse] PTK2 protein tyrosine kinase 2","mouse",1
"Tbc1d23 [mouse] TBC1 domain family, member 23","mouse",1
"Ep400 [mouse] E1A binding protein p400","mouse",1
"Kat5 [mouse] K(lysine) acetyltransferase 5","mouse",1
"Ache [mouse] acetylcholinesterase","mouse",1
"Pbrm1 [mouse] polybromo 1","mouse",1
"Smad7 [mouse] SMAD family member 7","human",1
"CCL5 [human] C-C motif chemokine ligand 5","human",1
"SLC2A3 [human] solute carrier family 2 member 3","human",1
"TELO2 [human] telomere maintenance 2","human",1
"GLB1 [human] galactosidase beta 1","human",1
"VEGFA [human] vascular endothelial growth factor A","human",1
"chromosome 16p12.2-p11.2 deletion syndrome","mouse",1
"chromosome 16p11.2 duplication syndrome","mouse",1
"O3far1 [mouse] omega-3 fatty acid receptor 1","mouse",1
"Ppard [mouse] peroxisome proliferator activator receptor delta","mouse",1
"Kdm2b [mouse] lysine (K)-specific demethylase 2B","mouse",1
"BNA4 [yeast] Bna4p","yeast",1
"MBF1 [yeast] Mbf1p","yeast",1
"Dab1 [mouse] disabled homolog 1 (Drosophila)","mouse",1
"Sod1 [fly] Superoxide dismutase 1","fly",1
"AFF1 [human] AF4/FMR2 family member 1","mouse",1
"IFNB1 [human] interferon, beta 1, fibroblast","human",1
"PRF1 [human] perforin 1 (pore forming protein)","human",1
"BHLHE41 [human] basic helix-loop-helix family, member e41","human",1
"transgenic organism","mouse",1
"Sdc4 [mouse] syndecan 4","mouse",1
"AR [human] androgen receptor","mouse",1
"Mmp13 [mouse] matrix metallopeptidase 13","mouse",1
"ACKR3 [human] atypical chemokine receptor 3","human",1
"euploid","human",1
"Neurod6 [rat] neuronal differentiation 6","rat",1
"MGMT [human] O-6-methylguanine-DNA methyltransferase","human",1
"CFTR [human] cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","mouse",1
"ACSL4 [human] acyl-CoA synthetase long chain family member 4","human",1
